Month,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
Jan,226,2020-01-01 00:04:50.1920,2020-01-01 00:08:37.0370,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3211,Newark Ave,40.72152515,-74.046304543,29444,Subscriber,1984,2
Jan,377,2020-01-01 00:16:01.6700,2020-01-01 00:22:19.0800,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,26305,Subscriber,1989,2
Jan,288,2020-01-01 00:17:33.8770,2020-01-01 00:22:22.4420,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,29268,Customer,1989,1
Jan,435,2020-01-01 00:32:05.9020,2020-01-01 00:39:21.0660,3195,Sip Ave,40.73089709786179,-74.06391263008118,3280,Astor Place,40.71928220070702,-74.07126188278198,29278,Customer,1969,0
Jan,231,2020-01-01 00:46:19.6780,2020-01-01 00:50:11.3440,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,29276,Subscriber,1983,2
Jan,437,2020-01-01 00:47:21.0850,2020-01-01 00:54:38.7460,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,26261,Subscriber,1990,1
Jan,438,2020-01-01 00:59:19.6180,2020-01-01 01:06:38.4200,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,29120,Customer,1969,0
Jan,403,2020-01-01 00:59:31.5680,2020-01-01 01:06:15.3510,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,26182,Customer,1969,0
Jan,395,2020-01-01 00:59:34.4200,2020-01-01 01:06:10.2390,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,29601,Customer,1969,0
Jan,423,2020-01-01 00:59:39.4200,2020-01-01 01:06:42.8380,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,26268,Customer,1969,0
Jan,1227,2020-01-01 01:07:07.6230,2020-01-01 01:27:34.8230,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3280,Astor Place,40.71928220070702,-74.07126188278198,29467,Subscriber,1976,1
Jan,360,2020-01-01 01:09:20.5470,2020-01-01 01:15:21.4730,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,29290,Subscriber,1984,1
