tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
243,2020-03-01 04:06:21.4450,2020-03-01 04:10:25.1360,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42555,Customer,1992,1
439,2020-03-01 04:21:45.5210,2020-03-01 04:29:04.6330,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42113,Customer,1995,1
372,2020-03-01 04:22:25.7240,2020-03-01 04:28:37.7960,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42126,Customer,1996,1
708,2020-03-01 06:38:14.9720,2020-03-01 06:50:03.9340,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42455,Customer,1969,0
182,2020-03-01 07:28:41.5760,2020-03-01 07:31:44.3070,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42274,Subscriber,1980,1
261,2020-03-01 07:28:55.3540,2020-03-01 07:33:16.8520,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42603,Subscriber,1960,1
1437,2020-04-01 01:06:20.6300,2020-04-01 01:30:17.9680,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,42314,Customer,2002,2
264,2020-04-01 05:02:42.0570,2020-04-01 05:07:06.1260,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73089709786179,-74.06391263008118,42146,Subscriber,1963,2
254,2020-04-01 06:20:28.1190,2020-04-01 06:24:42.1380,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3195,Sip Ave,40.73089709786179,-74.06391263008118,42255,Subscriber,1981,1
429,2020-04-01 06:33:30.5170,2020-04-01 06:40:40.1990,3195,Sip Ave,40.73089709786179,-74.06391263008118,3679,Bergen Ave,40.722103786686034,-74.07145500183105,42529,Subscriber,1964,1
805,2020-04-01 06:38:32.9220,2020-04-01 06:51:58.2050,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3195,Sip Ave,40.73089709786179,-74.06391263008118,42362,Subscriber,1965,1
317,2020-04-01 06:43:44.5300,2020-04-01 06:49:01.8340,3211,Newark Ave,40.72152515,-74.046304543,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42636,Subscriber,1956,1
238,2020-04-01 06:43:52.2160,2020-04-01 06:47:51.0450,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42336,Subscriber,1967,1
360,2020-04-01 06:51:07.8450,2020-04-01 06:57:08.3370,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,42531,Subscriber,1982,1
79,2020-04-01 07:00:01.6820,2020-04-01 07:01:21.3910,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.04311746358871,27808,Subscriber,1993,1
